,sid,name,address,tel,latitude,longitude
0,1767702612,박준훈련사애견유치원강아지훈련소애견훈련,서울특별시 중구 세종대로 136,010-2595-0109,37.5684246,126.9782701
1,1801606462,바우라움 강아지유치원애견훈련,서울특별시 성동구 왕십리로 241 4층 바우라움,1566-4508,37.5562273,127.0401196
2,1745897774,스타몽 강아지 유치원애견훈련,서울특별시 서초구 서초대로73길 12 세계빌딩 B1층,02-535-7942,37.4985581,127.0257556
3,1254053911,땡일리 강아지유치원애견훈련,서울특별시 성북구 월계로32길 24,010-8374-6097,37.6187337,127.0450283
4,1324819849,24개스트하우스 강남강아지유치원반려견놀이터,서울특별시 강남구 봉은사로20길 52 지하 1층,010-5333-6004,37.5039150,127.0333770
5,13471225,강아지유치원 퍼피스쿨반려동물,서울특별시 강남구 봉은사로104길 10 동화빌딩 4층,02-554-2010,37.5137230,127.0619156
6,1686939210,멍투게더 강아지유치원반려동물호텔,서울특별시 강남구 역삼로14길 14 명진빌딩 3층,010-5715-3963,37.4936197,127.0355055
7,1174772304,박준강아지유치원애견훈련소애견훈련,서울특별시 영등포구 영중로 15,010-6836-1284,37.5172058,126.9037140
8,1706257057,준애견훈련소강아지유치원애견훈련,서울특별시 강남구 테헤란로 152,010-6743-1090,37.5000263,127.0365456
9,1653978913,박준애견호텔강아지유치원강아지훈련소반려동물호텔,경기도 수원시 팔달구 권선로 733,010-6516-4592,37.2582833,127.0317875
10,1668592617,박준애견유치원강아지훈련소애견훈련,서울특별시 송파구 올림픽로 300,010-7677-9010,37.5125702,127.1025625
11,1498062577,애견유치원강아지마을반려동물호텔,경기도 부천시 길주로 86 해피플러스 2층 209호,010-7773-7881,37.5052331,126.7519392
12,1513100166,하울 애견 유치원애견훈련,서울특별시 강서구 곰달래로 227 2층.3층 하울유치원,1877-9057,37.5318423,126.8583111
13,1587891696,독클래스애견훈련,서울특별시 용산구 회나무로42길 4 독클래스,02-6014-4242,37.5407240,126.9958678
14,1733540587,도기캠프애견훈련,"서울특별시 용산구 백범로 313 롯데캐슬상가 B2층 203,204호 도기캠프",02-714-5999,37.5400414,126.9635260
15,58455917,나무 애견유치원반려동물미용,경기도 하남시 신장로 202 2층,031-793-0031,37.5431603,127.1989491
16,1808184579,프리독스애견훈련,서울특별시 용산구 원효로 189-3 2층,010-2738-4042,37.5365996,126.9633559
17,20331499,나밍밍강아지네반려동물미용,서울특별시 동작구 서달로 150 이랜드 해가든 상가 110호,070-8105-6655,37.5066681,126.9622064
18,37630408,쥬니어드린겐애견유치원애견훈련,경기도 시흥시 매화로94번길 31,070-8871-0930,37.4115094,126.8117162
19,37327041,원쿡 강아지 유치원반려동물,대구광역시 수성구 용학로 12-1 원쿡아카데미,010-2950-8270,35.8255892,128.6112814
20,1620127619,마이펫강아지유치원 호텔미용스파반려동물호텔,부산광역시 금정구 온천장로125번길 50 2층 마이펫강아지유치원 호텔미용스파,010-9335-7892,35.2236861,129.0830544
21,1788311094,행복하개 애견유치원&호텔애견훈련,경기도 화성시 노들길 6-12 엠폴리스303동 4층,010-8405-4974,37.2802781,126.8194939
22,1236306299,코코키스애견유치원애견훈련,경기도 수원시 팔달구 월드컵로311번길 33-2,010-5000-5535,37.2849661,127.0330267
23,1212801563,멜리애견유치원애견훈련,인천광역시 중구 월촌길 52,010-4964-2656,37.4968791,126.5664265
24,1403363217,쥬쥬펫반려동물미용,서울특별시 서대문구 증가로 13-9 2층,02-6216-0028,37.5691333,126.9311320
25,1105879816,강남강아지반려견놀이터,서울특별시 강남구 언주로79길 14 2층,02-556-2212,37.4993316,127.0428946
26,1671766950,유치원 담임애견훈련,경기도 화성시 비봉면 남이로 255 2F,010-5707-9870,37.2495031,126.8414998
27,1287443158,내생각애견호텔유치원반려동물호텔,서울특별시 은평구 연서로 298 2층,010-2924-5558,37.6221025,126.9271183
28,1777602086,강아지대학로애견카페,서울특별시 종로구 대학로12길 92 지하1층,010-6899-2004,37.5800995,127.0037015
29,1757386195,망토두른강아지반려동물호텔,경기도 포천시 소흘읍 호국로 324-30,010-7574-8813,37.8009983,127.1316777
30,299449204,강아지봄반려동물미용,경기도 용인시 수지구 심곡로 87 수지 제일 아이조움,031-898-4131,37.3108583,127.0817500
31,1670875948,강아지유치원준애견훈련소애견훈련,경기도 성남시 분당구 성남대로926번길 10,010-2906-1090,37.4125728,127.1298778
32,407623382,좐네강아지애견훈련,경기도 하남시 신평로168번길 60,010-2203-4225,37.5466706,127.2144861
33,1008390204,9PETS반려동물미용,서울특별시 성동구 서울숲2길 32-14 101동 106~107호,070-8845-9101,37.5457261,127.0423333
34,1982997927,댕댕이하우스반려동물미용,서울특별시 성동구 왕십리로 110 2층,070-4384-0920,37.5474643,127.0447833
35,37793714,커피볶는강아지minipia반려동물미용,경기도 화성시 동탄대로시범길 185 중앙프라자2층 207호,070-4234-3341,37.2015456,127.1092548
36,1175743168,프랑소와펫 서래점반려동물미용,"서울특별시 서초구 서래로1길 18 엠제이빌딩 1층, 지하1층",02-6951-3361,37.4962335,126.9971338
37,1818970867,멍설유치원반려견놀이터,경기도 고양시 덕양구 서삼릉길 357 1층,010-4139-9347,37.6529930,126.8781853
38,1457735972,슈퍼독애견훈련,서울특별시 영등포구 여의동로 213 상가층 114호,070-4279-7722,37.5185998,126.9396473
39,549173129,리틀원유치원반려견놀이터,경기도 남양주시 별내5로23번길 18-26 1층 리틀원,070-7621-0741,37.6525383,127.1146912
40,1198277244,모동모동반려동물미용,서울특별시 성동구 왕십리로 16 트리마제 상가 103호,02-3409-9225,37.5388896,127.0449450
41,1667500114,멍뭉유치원반려동물,경기도 남양주시 별내3로 334 다우프라자 2층 멍뭉유치원,010-4419-2117,37.6670135,127.1171168
42,37917904,해피퍼피애견훈련,서울특별시 강남구 논현로134길 5,02-544-0522,37.5155779,127.0307028
43,1653718046,코코퍼피반려동물미용,서울특별시 강북구 오현로 56 꿈의숲 롯데캐슬 101동 4호,02-980-9589,37.6176650,127.0367478
44,1178794385,오올치유치원반려견놀이터,경기도 부천시 석천로169번길 22 현대센트럴파크 201호 오올치유치원,010-7656-2599,37.5029806,126.7616207
45,31383752,Im애견훈련,서울특별시 서초구 동광로 183,02-593-6700,37.4938158,127.0017279
46,1465432915,프랑소와펫 아카데미애견훈련,서울특별시 서초구 서래로 47 지하1층,02-535-3361,37.4991476,126.9981595
47,1064650077,브이케어반려동물미용,서울특별시 서초구 강남대로79길 32 2층,02-6949-3038,37.5046121,127.0224163
48,32390316,핫Dog 1호점반려동물미용,서울특별시 강북구 노해로11길 41,070-8264-7129,37.6387902,127.0203073
49,1273025099,다즐링반려동물미용,서울특별시 영등포구 신길로 119 1층 121호,010-4674-1253,37.5032034,126.9096224
50,1570596281,퍼피루시드앤로던트클럽반려동물미용,경기도 고양시 덕양구 꽃마을로 4 퍼스트타워 310호,02-3158-2491,37.5989344,126.8924137
51,1044438964,어썸멍스쿨 동탄 유치원호텔반려동물호텔,경기도 화성시 동탄지성로 148 제이스프라자 6층 어썸멍스쿨,010-7912-9132,37.2100940,127.0596161
52,38415570,스타일리다독반려동물미용,서울특별시 강남구 논현로101길 10,02-508-7757,37.5046109,127.0340639
53,1548880093,하이포우반려견유치원반려견놀이터,인천광역시 연수구 하모니로 158 D동 412호,032-228-6138,37.3832893,126.6422608
54,1142980384,신나개반려동물미용,서울특별시 동대문구 답십리로69길 71 이제이빌딩 3층,010-8494-8098,37.5755382,127.0739750
55,1056814743,마이도그반려동물미용,서울특별시 성북구 돌곶이로 19 한양빌딩 1층 골목 초입,02-969-6139,37.6061797,127.0615355
56,1704219179,와사비네집애견훈련,서울특별시 광진구 용마산로 66 3층 와사비네집,02-454-1010,37.5595392,127.0878487
57,37240857,도그하우스애견훈련,서울특별시 양천구 목동중앙서로 47 성보주상복합아파트 1층,02-2643-3330,37.5332716,126.8692770
58,1836354719,뚜뚜미엘반려동물미용,서울특별시 광진구 긴고랑로 60 2층 뚜뚜미엘,010-9004-9096,37.5619031,127.0826965
59,1073403861,방가댕댕반려동물미용,서울특별시 관악구 장군봉1길 6 금강아미움아파트 상가동 101동 101호,010-3982-8844,37.4818429,126.9406500
60,1890964386,디어몽반려동물미용,서울특별시 관악구 난곡로63길 6,02-838-2922,37.4811810,126.9142215
61,37696242,키즈멍애견훈련,서울특별시 광진구 동일로62길 41,010-8875-9491,37.5592611,127.0765677
62,38632538,MM애견공방반려동물미용,서울특별시 송파구 백제고분로 165 서도빌딩,010-7418-0168,37.5053813,127.0852889
63,1470827538,키움반려견아카데미애견훈련,서울특별시 양천구 은행정로 94 201호,010-4847-5193,37.5281658,126.8587998
64,1144738554,안녕똑독아애견호텔유치원애견훈련,충청남도 천안시 동남구 충절로 437 2층 안녕똑독아 반려견힐링센터,010-8283-9175,36.7832856,127.1715499
65,20555087,곁에 있을개반려동물미용,서울특별시 강서구 화곡로66길 162,02-3661-1459,37.5545396,126.8616004
66,1244972203,이든반려견문화센터반려동물미용,서울특별시 양천구 은행정로 94,010-9349-4940,37.5281658,126.8587998
